county_name,county_fips,year,dem_share,rep_share,margin,winner
Del Norte,6015,2016,0.36461602845783636,0.5371416614354467,0.17252563297761037,Republican
El Dorado,6017,2016,0.3889690247993931,0.5261937579468111,0.137224733147418,Republican
Fresno,6019,2016,0.500642889780709,0.43939302703679173,-0.061249862743917305,Democrat
Glenn,6021,2016,0.3236536430834213,0.6111932418162619,0.2875395987328406,Republican
Humboldt,6023,2016,0.5603753839921682,0.3101137629544611,-0.25026162103770716,Democrat
Imperial,6025,2016,0.6792747083653906,0.26416585223846456,-0.41510885612692605,Democrat
Inyo,6027,2016,0.39018055899084836,0.5253524610437794,0.13517190205293106,Republican
Kern,6029,2016,0.4041931005107244,0.530727423893055,0.12653432338233067,Republican
Kings,6031,2016,0.40150375939849625,0.5334807607253428,0.13197700132684653,Republican
Lake,6033,2016,0.46930111038536904,0.4326828870019595,-0.03661822338340953,Democrat
Lassen,6035,2016,0.2113264918282022,0.7196883314329152,0.508361839604713,Republican
Los Angeles,6037,2016,0.7175722154215638,0.22413336252892868,-0.4934388528926351,Democrat
Madera,6039,2016,0.3949944331044721,0.5417749118574875,0.14678047875301542,Republican
Marin,6041,2016,0.7805317613607806,0.15631888449304604,-0.6242128768677346,Democrat
Mariposa,6043,2016,0.3516953925875859,0.5840937253576659,0.23239833277007999,Republican
Mendocino,6045,2016,0.5891346692638152,0.29052485524455,-0.2986098140192652,Democrat
Merced,6047,2016,0.5271581742926161,0.4057833844241337,-0.12137478986848244,Democrat
Modoc,6049,2016,0.23152059134107708,0.7117212249208026,0.48020063357972553,Republican
Mono,6051,2016,0.525587566338135,0.4001137225170584,-0.12547384382107657,Democrat
Monterey,6053,2016,0.6677860398177021,0.2615660230271048,-0.4062200167905973,Democrat
Napa,6055,2016,0.6387114645115036,0.28369614808055793,-0.3550153164309457,Democrat
Nevada,6057,2016,0.47425138800400474,0.4253208337125694,-0.048930554291435335,Democrat
Orange,6059,2016,0.5093530718876746,0.4234982100522663,-0.08585486183540836,Democrat
